fips,year,value
370630017061,2007,341
370630017061,2008,407
370630017061,2009,295
370630017061,2010,319
370630017061,2011,324
370630017061,2012,250
370630017061,2013,238
370630017061,2014,221
370630017061,2015,307
370630017061,2016,320
370630017061,2017,208
370630017061,2018,182
370630017061,2019,119
370630017061,2020,63
370630017061,2021,62
370630017062,2000,58
370630017062,2001,67
370630017062,2002,53
370630017062,2004,130
370630017062,2005,120
370630017062,2006,133
370630017062,2007,154
370630017062,2008,143
370630017062,2009,143
370630017062,2010,150
370630017062,2011,121
370630017062,2012,84
370630017062,2013,100
370630017062,2014,123
370630017062,2015,99
370630017062,2016,103
370630017062,2017,76
370630017062,2018,50
370630017062,2019,61
370630017062,2020,15
370630017062,2021,11
370630017071,2000,6
370630017071,2001,9
370630017071,2002,11
370630017071,2004,16
370630017071,2005,16
370630017071,2006,30
370630017071,2007,33
370630017071,2008,27
370630017071,2009,20
370630017071,2010,12
370630017071,2011,17
370630017071,2012,25
370630017071,2013,29
370630017071,2014,8
370630017071,2015,16
370630017071,2016,5
370630017071,2017,20
370630017071,2018,11
370630017071,2019,15
370630017071,2020,2
370630017071,2021,2
370630017072,2000,23
370630017072,2001,23
370630017072,2002,27
370630017072,2004,33
370630017072,2005,35
370630017072,2006,36
370630017072,2007,28
370630017072,2008,23
370630017072,2009,39
370630017072,2010,31
370630017072,2011,19
370630017072,2012,7
370630017072,2013,27
370630017072,2014,23
370630017072,2015,11
370630017072,2016,13
370630017072,2017,11
370630017072,2018,13
370630017072,2019,5
370630017072,2020,5
370630017072,2021,5
370630017073,2000,1
370630017073,2001,1
370630017073,2002,2
370630017073,2004,1
370630017073,2005,7
370630017073,2006,8
370630017073,2007,3
370630017073,2008,3
370630017073,2009,6
370630017073,2010,6
370630017073,2011,3
370630017073,2012,0
370630017073,2013,5
370630017073,2014,6
370630017073,2015,8
370630017073,2016,0
370630017073,2017,0
370630017073,2018,2
370630017073,2019,0
370630017073,2020,0
370630017073,2021,0
370630017074,2000,17
370630017074,2001,9
370630017074,2002,12
370630017074,2004,34
370630017074,2005,17
370630017074,2006,11
370630017074,2007,18
370630017074,2008,17
370630017074,2009,16
370630017074,2010,14
370630017074,2011,11
370630017074,2012,13
370630017074,2013,9
370630017074,2014,5
370630017074,2015,3
370630017074,2016,4
370630017074,2017,3
370630017074,2018,4
370630017074,2019,3
370630017074,2020,0
370630017074,2021,1
370630017075,2000,2
370630017075,2001,2
370630017075,2002,1
370630017075,2004,2
370630017075,2005,1
370630017075,2006,2
370630017075,2007,0
370630017075,2008,1
370630017075,2009,3
370630017075,2010,4
370630017075,2011,1
370630017075,2012,0
370630017075,2013,1
370630017075,2014,0
370630017075,2015,1
370630017075,2016,0
370630017075,2017,0
370630017075,2018,0
370630017075,2019,0
370630017075,2020,2
370630017075,2021,0
370630017081,2000,55
370630017081,2001,134
370630017081,2002,282
370630017081,2004,212
370630017081,2005,207
370630017081,2006,226
370630017081,2007,316
370630017081,2008,241
370630017081,2009,202
370630017081,2010,205
370630017081,2011,306
370630017081,2012,200
370630017081,2013,231
370630017081,2014,223
370630017081,2015,153
370630017081,2016,150
370630017081,2017,131
370630017081,2018,176
370630017081,2019,116
370630017081,2020,87
370630017081,2021,50
370630017091,2000,69
370630017091,2001,81
370630017091,2002,98
370630017091,2004,62
370630017091,2005,100
370630017091,2006,82
370630017091,2007,75
370630017091,2008,93
370630017091,2009,77
370630017091,2010,70
370630017091,2011,64
370630017091,2012,65
370630017091,2013,52
370630017091,2014,44
370630017091,2015,53
